ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
2025-12-18 03:39:24,"""1682176""","""mint.wave5hift.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 03:34:43,"""1682175""","""flare.wave5hift.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 03:25:29,"""1682173""","""zbas.wave5hift.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 03:17:12,"""1682172""","""ahp.wave5hift.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 03:07:28,"""1682171""","""lo68g.darkw1re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:58:48,"""1682169""","""27.darkw1re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:47:45,"""1682166""","""ts.darkw1re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:40:02,"""1682165""","""ridge.darkw1re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:27:41,"""1682164""","""crest.deepw1nd.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:17:25,"""1682163""","""xk8v.deepw1nd.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 02:03:30,"""1682162""","""dark.deepw1nd.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:57:18,"""1682161""","""bit.deepw1nd.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:47:30,"""1682160""","""jgl.mintp1xel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:38:20,"""1682158""","""qeu.mintp1xel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:26:54,"""1682157""","""ps.mintp1xel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:17:04,"""1682156""","""gom.mintp1xel.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 01:07:53,"""1682155""","""ug3.stormf0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:54:52,"""1682152""","""xx.stormf0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:47:40,"""1682151""","""2887k.stormf0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:37:19,"""1682150""","""e97hx.stormf0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:27:32,"""1682148""","""delta.lightst0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:17:15,"""1682147""","""vg.lightst0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-18 00:07:06,"""1682146""","""1ay20.lightst0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:58:13,"""1682131""","""1i.lightst0rm.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:47:52,"""1682130""","""soft.softf0x.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:37:36,"""1682129""","""gcd1.softf0x.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:27:44,"""1682128""","""kl.softf0x.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:17:26,"""1682125""","""wave.softf0x.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 23:07:41,"""1682124""","""shadow.frostc0de.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:57:25,"""1682037""","""storm.frostc0de.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:47:02,"""1682036""","""2jgq.frostc0de.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:37:14,"""1682035""","""gate.frostc0de.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:27:57,"""1682034""","""8q.skysh1ne.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:16:36,"""1682033""","""mqgi.skysh1ne.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 22:07:51,"""1682032""","""gizmo.skysh1ne.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 21:57:34,"""1682030""","""7hn2w.skysh1ne.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 21:47:15,"""1682029""","""3yb.brightc0re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 21:28:17,"""1682027""","""20ve.brightc0re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 21:19:00,"""1682025""","""66o.brightc0re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 21:04:39,"""1682024""","""b1g.brightc0re.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:57:50,"""1682023""","""2ms.cloudb1t.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:41:55,"""1682022""","""giz.cloudb1t.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:37:41,"""1682021""","""o4py.cloudb1t.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:27:23,"""1682020""","""form.cloudb1t.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:17:31,"""1682019""","""3l.hush-copper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:07:16,"""1682018""","""u9m3e.hush-copper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 20:03:10,"""1682011""","""www.themosthonestseller.top""","""domain""","""botnet_cc""","""apk.hook""","""None""","""Hook""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:57:26,"""1681886""","""nalnk.hush-copper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:46:06,"""1681881""","""ak8.hush-copper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:36:46,"""1681880""","""hyh.ravelmint.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:27:59,"""1681879""","""wkm0.ravelmint.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:23:47,"""1681878""","""vhr6.ravelmint.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
